"arc_length","start time: 0 s","end time: 0.12s"
0,0.000000,0.000000
8.14648e-06,0.000000,0.000000
1.6293e-05,0.000000,0.000000
2.44394e-05,0.000000,0.000000
3.25859e-05,0.000000,0.000000
4.07324e-05,0.000000,0.000000
4.88789e-05,0.000000,0.000000
5.70254e-05,0.000000,0.000000
6.51718e-05,0.000000,0.000000
7.33183e-05,0.000000,0.000000
8.14648e-05,0.000000,0.000000
8.96113e-05,0.000000,0.000000
9.77578e-05,0.000000,0.000000
0.000105904,0.000000,0.000000
0.000114051,0.000000,0.000000
0.000122197,0.000000,0.000000
0.000130344,0.000000,0.000000
0.00013849,0.000000,0.000000
0.000146637,0.000000,0.000000
0.000154783,0.000000,0.000000
0.00016293,0.000000,0.000000
0.000171076,0.000000,0.000000
0.000179223,0.000000,0.000000
0.000187369,0.000000,0.000000
0.000195516,0.000000,0.000000
0.000203662,0.000000,0.000000
0.000211808,0.000000,0.000000
0.000219955,0.000000,0.000000
0.000228101,0.000000,0.000000
0.000236248,0.000000,0.000000
0.000244394,0.000000,0.000000
0.000252541,0.000000,0.000000
0.000260687,0.000000,0.000000
0.000268834,0.000000,0.000000
0.00027698,0.000000,0.000000
0.000285127,0.000000,0.000000
0.000293273,0.000000,0.000000
0.00030142,0.000000,0.000000
0.000309566,0.000000,0.000000
0.000317713,0.000000,0.000000
0.000325859,0.000000,0.000000
0.000334006,0.000000,0.000000
0.000342152,0.000000,0.000000
0.000350299,0.000000,0.000000
0.000358445,0.000000,0.000000
0.000366592,0.000000,0.000000
0.000374738,0.000000,0.000000
0.000382885,0.000000,0.000000
0.000391031,0.000000,0.000000
0.000399178,0.000000,0.000000
0.000407324,0.000000,0.000000
0.000415471,0.000000,0.000000
0.000423617,0.000000,0.000000
0.000431764,0.000000,0.000000
0.00043991,0.000000,0.000000
0.000448057,0.000000,0.000000
0.000456203,0.000000,0.000000
0.00046435,0.000000,0.000000
0.000472496,0.000000,0.000000
0.000480643,0.000000,0.000000
0.000488789,0.000000,0.000000
0.000496936,0.000000,0.000000
0.000505082,0.000000,0.000000
0.000513229,0.000000,0.000000
0.000521375,0.000000,0.000000
0.000529522,0.000000,0.000000
0.000537668,0.000000,0.000000
0.000545815,0.000000,0.000000
0.000553961,0.000000,0.000000
0.000562107,0.000000,0.000000
0.000570254,0.000000,0.000000
0.0005784,0.000000,0.000000
0.000586547,0.000000,0.000000
0.000594693,0.000000,0.000000
0.00060284,0.000000,0.000000
0.000610986,0.000000,0.000000
0.000619133,0.000000,0.000000
0.000627279,0.000000,0.000000
0.000635426,0.000000,0.000000
0.000643572,0.000000,0.000000
0.000651719,0.000000,0.000000
0.000659865,0.000000,0.000000
0.000668012,0.000000,0.000000
0.000676158,0.000000,0.000000
0.000684305,0.000000,0.000000
0.000692451,0.000000,0.000000
0.000700598,0.000000,0.000000
0.000708744,0.000000,0.000000
0.000716891,0.000000,0.000000
0.000725037,0.000000,0.000000
0.000733184,0.000000,0.000000
0.00074133,0.000000,0.000000
0.000749476,0.000000,0.000000
0.000757623,0.000000,0.000000
0.000765769,0.000000,0.000000
0.000773916,0.000000,0.000000
0.000782062,0.000000,0.000000
0.000790209,0.000000,0.000000
0.000798355,0.000000,0.000000
0.000806502,0.000000,0.000000
0.000814648,0.000000,0.000000
0.000822795,0.000000,0.000000
0.000830941,0.000000,0.000000
0.000839088,0.000000,0.000000
0.000847234,0.000000,0.000000
0.000855381,0.000000,0.000000
0.000863527,0.000000,0.000000
0.000871674,0.000000,0.000000
0.00087982,0.000000,0.000000
0.000887967,0.000000,0.000000
0.000896113,0.000000,0.000000
0.00090426,0.000000,0.000000
0.000912406,0.000000,0.000000
0.000920553,0.000000,0.000000
0.000928699,0.000000,0.000000
0.000936846,0.000000,0.000000
0.000944992,0.000000,0.000000
0.000953139,0.000000,0.000000
0.000961285,0.000000,0.000000
